Id,author_name,paper_name,node_type
7664,,specifying cases for technology enhanced learning in a small and medium enterprise,conference paper
7665,,a knowledge-based system for the strategic control level of robots in flexible manufacturing cells,article
7666,,social presence and interaction in learning environments: the effect on student success,article
7667,,"not fade away?: commentary to paper education and the semantic web (ijaied vol.14, 2004)",article
7668,,grading students' programming and soft skills with open badges: a case study,article in press
7669,,enhancing learning object content on the semantic web,conference paper
7670,,content and knowledge provision service - a way to build intellectual capital in learning organizations,article
7671,,review of new expert systems in medicine [pregled novijih medicinskih ekspertnih sistema.],review
7672,,education and the semantic web,article
7673,,ontology-based automatic annotation of learning content,conference paper
7674,,adopting software engineering trends in ai,article
7675,,think ahead: evaluation and standardisation issues for e-learning applications,article
7676,,comex: a cost management expert system,article
7677,,leveraging the semantic web for providing educational feedback,conference paper
7678,,a framework for building intelligent manufacturing systems,article
7679,,on the notion of components for intelligent tutoring systems,conference paper
7680,,interoperable petri net models via ontology,article
7681,,automatic annotation of content units in tangram,conference paper
7682,,semi-automatic generation of quizzes and learning artifacts from linked data,conference paper
7683,,ontology modeling and mda,review
7684,,dynamic assembly of personalized learning content on the semantic web,conference paper
7685,,converting uml to owl ontologies,conference paper
7686,,knowledge-based control of rotary kiln,conference paper
7687,,designing an intelligent tutoring system in the domain of formal languages,conference paper
7688,,rex: robotics expert systems building tool,article
7689,,designing knowledge-based systems for optimal performance,conference paper
7690,,bridging concrete and abstract syntax of web rule languages,conference paper
7691,,loco-analyst: semantic web technologies in learning content usage analysis,article
7692,,object-oriented modelling of expert system reasoning process,conference paper
7693,,visualizing the affective structure of students interaction,conference paper
7694,,tangram for personalized learning using the semantic web technologies,article
7695,,model driven engineering of a tableau algorithm for description logics,article
7696,,towards more intelligent assessment systems,book chapter
7697,,features of second-generation expert systems-an extended overview,review
7698,,a uml profile for owl ontologies,conference paper
7699,,remarks on the variety and significance of advanced learning technologies,article
7700,,using semantic web technologies to analyze learning content,article
7701,,code tutor,conference paper
7702,,applying semantic web to e-tourism,book chapter
7703,,ontologies for reusing learning object content,conference paper
7704,,model transformations to bridge concrete and abstract syntax of web rule languages,article
7705,,architectural patterns in pedagogical agents,conference paper
7706,,a gui for jess,article
7707,,using data mining to improve digital library services,article
7708,,specifying cases for tel in an sme,conference paper
7709,,a comparative study of software tools for user story management,conference paper
7710,,incorporating the ontology paradigm into a mainstream programming environment,article
7711,,emotional semantic grid,conference paper
7712,,artificial intelligence applications and innovations,conference paper
7713,dragan o. djuric,,author
7714,,immunoglobulin and albumin preparations and transfusion transmisstve diseases,article
7715,,penetrating the omerta of predatory publishing: the romanian connection,article
7716,,confirmation of anti-hcv results in blood donors,article
7717,,functional programming way to interact with software attacks and vulnerabilities,conference paper
7718,,air - a platform for intelligent systems,conference paper
7719,,highway: a domain specific language for enterprise application integration,conference paper
7720,jelena m. jovanovic,,author
7721,,leveraging the social semantic web in intelligent tutoring systems,conference paper
7722,,a semantic-rich framework for learning software patterns,conference paper
7723,,self-regulated learners and collaboration: how innovative tools can address the motivation to learn at the workplace?,conference paper
7724,,requirements elicitation in culturally and technologically diverse settings,conference paper
7725,,comprehension and learning of social goals through visualization,article
7726,,an environment for project-based collaborative learning of software design patterns,article
7727,,learning object context for adaptive learning design,conference paper
7728,,ontologies for effective use of context in e-learning settings,review
7729,,towards a semantic-rich collaborative environment for learning software patterns,conference paper
7730,,leveraging semantic technologies for harmonization of individual and organizational learning,conference paper
7731,,repurposing learning object components,conference paper
7732,,semantically-enabled project-based collaborative learning of software patterns,conference paper
7733,,2nd int'l workshop on open badges in education (obie 2015): from learning evidence to learning analytics,conference paper
7734,,automated semantic tagging of textual content,article
7735,,linked data metrics for flexible expert search on the open web,conference paper
7736,,factors influencing beliefs for adoption of a learning analytics tool: an empirical study,article
7737,,the social semantic web and workplace learning,book chapter
7738,,utility of ontology extraction tools in the hands of educators,conference paper
7739,,ontology-based content model for scalable content reuse,conference paper
7740,,lexical semantic relatedness for twitter analytics,conference paper
7741,,evaluating an intelligent tutoring system for design patterns: the depths experience,article
7742,,intelligent and innovative support of collaborative learning activities (wiiscola),conference paper
7743,,rysannmd: a biomedical semantic annotator balancing speed and accuracy,article
7744,,semantic annotation in biomedicine: the current landscape,review
7745,,evolutionary fine-tuning of automated semantic annotation systems,article
7746,,an approach to folksonomy-based ontology maintenance for learning environments,article
7747,,collaborative learning in online study groups: an evolutionary game theory perspective,article
7748,,filtering inaccurate entity co-references on the linked open data,conference paper
7749,,learn-b: a social analytics-enabled tool for self-regulated workplace learning,conference paper
7750,,ontology-based learning content repurposing,conference paper
7751,,bridging knowledge bases' heterogeneity using xml/xslt approach,conference paper
7752,,the social semantic web in intelligent learning environments: state of the art and future challenges,article
7753,,from prediction to impact: evaluation of a learning analytics retention program,conference paper
7754,,from study tactics to learning strategies: an analytical method for extracting interpretable representations,article in press
7755,,can educators develop ontologies using ontology extraction tools: an end-user study,conference paper
7756,,generating context-related feedback for teachers,article
7757,,personal learning environments on the social semantic web,article
7758,,exploring student interactions with preparation activities in a flipped classroom experience,article in press
7759,,the state of the art in semantic relatedness: a framework for comparison,article in press
7760,,automated classification and localization of daily deal content from the web,article
7761,,identifying engagement patterns with video annotation activities: a case study in professional development,article
7762,,semantic tagging with linked open data,conference paper
7763,,project-based collaborative learning environment with context-aware educational services,conference paper
7764,,e-learning meets the social semantic web,conference paper
7765,,semantic technologies for socially-enhanced context-aware mobile learning,conference paper
7766,,an empirical evaluation of ontology-based semantic annotators,conference paper
7767,,achieving knowledge interoperability: an xml/xslt approach,article
7768,,paperista: visual exploration of semantically annotated research papers,conference paper
7769,,a qualitative evaluation of evolution of a learning analytics tool,article
7770,,leveraging folksonomies for ontology evolution in e-learning environments,conference paper
7771,,learning object context on the semantic web,conference paper
7772,,students online interaction in a blended learning environment - a case study of the first experience in using an lms,conference paper
7773,,"social networking, teaching, and learning",review
7774,,1stinternational workshop on learning analytics and linked data,conference paper
7775,,electronic commerce meets the semantic web,article
7776,,looking for experts? what can linked data do for you?,conference paper
7777,,using online presence data for recommending human resources in the opal project,conference paper
7778,,semantic web technologies for the integration of learning tools and context-aware educational services,conference paper
7779,,discovering the dynamics of terms semantic relatedness through twitter,conference paper
7780,,ontologies to support learning design context,conference paper
7781,,self-regulated workplace learning: a pedagogical framework and semantic web-based environment,article
7782,,ontology extraction tools: an empirical study with educators,article
7783,,semantic web and linked learning to support workplace learning,conference paper
7784,,a semantic web-enabled tool for self-regulated learning in the workplace,conference paper
7785,,generating actionable predictive models of academic performance,conference paper
7786,,what do cmooc participants talk about in social media?: a topic analysis of discourse in a cmooc,conference paper
7787,,towards a comprehensive call ontology for research 2.0,conference paper
7788,,learning analytics to unveil learning strategies in a flipped classroom,article
7789,,student modeling and assessment in intelligent tutoring of software patterns,article
7790,,online presence in adaptive learning on the social semantic web,conference paper
7791,zoran marjanovic,,author
7792,,a comparative analysis of data warehouse data models,conference paper
7793,,towards business process catalog for cloud-enabled service oriented architectures,conference paper
7794,,a comparison and integration of ontologies suitable for interoperability extension of scor model,conference paper
7795,,a direct approach to physical data vault design,article
7796,,semantic mediation for standard-based b2b interoperability,article
7797,,towards model-driven approach for rapid erp development,conference paper
7798,,a semantic-mediation architecture for interoperable supply-chain applications,article
7799,,domain/mapping model: a novel data warehouse data mode,article
7800,,interoperable supply-chain applications: message metamodel-based semantic reconciliation of b2b messages,article
7801,,semantic b2b-integration using an ontological message metamodel,article
7802,,data level enterprise applications integration,conference paper
7803,dejan simic,,author
7804,,identity management-a survey,book chapter
7805,,a black hole with torsion in 5d lovelock gravity,article
7806,,5d lovelock gravity: new exact solutions with torsion,article
7807,,design of fuzzy expert system for evaluation of contemporary user authentication methods intended for mobile devices,article
7808,,extending identity management system with multimodal biometric authentication,article
7809,,reducing e-commerce risks using digital certificates,article
7810,,botnets: the evolution and the possible solution,article
7811,,overview of dos attacks on wireless sensor networks and experimental results for simulation of interference attacks [visión general de los ataques de dos en redes de sensores inalámbricos y resultados experimentales para la simulación de ataques de interferencia],article
7812,,choosing authentication techniques in e-procurement system in serbia,conference paper
7813,,access control in healthcare information systems - context aware attribute based approach,book chapter
7814,,implementing authentication in an e-procurement system,book chapter
7815,,an intrusion prevention system as a proactive security mechanism in network infrastructure,article
7816,,providing strong access control in campus computer network by using radius server [obezbedstrokeivanje jake kontrole pristupa u racunarskoj mrezi kampusa koriscenjem radius servera],article
7817,,holography in lovelock chern-simons ads gravity,article
7818,,merchant web applications defense in e-commerce enviroment,article
7819,,guaranteed single disk access for very large database files,article
7820,,tweakable parallel ofb mode of operation with delayed thread synchronization,article
7821,,performance evaluation of aes algorithm under linux operating system,article
7822,,efficient improvement of brain-tharp's algorithm,article
7823,,a novel approach to building secure systems,conference paper
7824,,writing open source sunxacml access control in electronic flealth record with acceptable performances,conference paper
7825,,a survey of wireless security,article
7826,,an application of partial homomorphic encryption in computer system with limited resources,article
7827,,security measures for protection of e-government it infrastructure,article
7828,dusan b. starcevic,,author
7829,,multimedia systems development,book chapter
7830,,object oriented terrain modelling: lessons learned from java3d development issues,conference paper
7831,,delivering educational games to mobile devices,book chapter
7832,,wiki as a corporate learning tool: case study for software development company,article
7833,,eeg analysis in a telemedical virtual world,article
7834,,walking in colors: human gait recognition using kinect and cbir,article
7835,,surviving the design of educational games: borrowing from motivation and multimodal interaction,conference paper
7836,,learning object repurposing for various multimedia platforms,article
7837,,experimental evaluation of multimodal human computer interface for tactical audio applications,conference paper
7838,,using learning objects in games,conference paper
7839,,the analysis of the users' response to the linear internet video advertising by using qoe methods,article
7840,,3d visualization of brain electrical activity,conference paper
7841,,motivational and cognitive aspects of applying educational games as a learning tool,book chapter
7842,,integrating an educational game in moodle lms,article
7843,,tactical audio and acoustic rendering in biomédical applications,article
7844,,software architecture for ground control station for unmanned aerial vehicle,conference paper
7845,,educational games design issues: motivation and multimodal interaction,conference paper
7846,,"motivational aspects of different learning contexts: ""my mom won't let me play this game...""",article
7847,,learning objects in educational games,article
7848,,improved indexing for distributed virtual university,article
7849,,structuring scan-line algorithm for scene with single complex object case,article
7850,,uav- based simulation environment: experience report,conference paper
7851,,open source application in multimodal biometry,conference paper
7852,,optimization of thresholds in serial multimodal biometric systems,conference paper
7853,,toward optimization of multimodal user interfaces for tactical audio applications,article
7854,,multi modal presentation in virtual telemedical environments,conference paper
7855,,educational software for studying a cbir system,article
7856,,model-driven development of user interfaces: promises and challenges,conference paper
7857,,continuous distribution approximation and thresholds optimization in serial multi-modal biometric systems,article
7858,,model driven development of user interfaces for educational games,conference paper
7859,,knowledge modeling for educational games,conference paper
7860,,modeling multimodal human-computer interaction,article
7861,,an agent based framework for virtual medical devices,conference paper
7862,,a multimodal biometrics system implemented using open source technology [multimodalni biometrijski sistem realizovan uz pomoc tehnologije otvorenog koda],conference paper
7863,,an implementation of real-time monitoring and analysis in telemedicine,conference paper
7864,,work in progress - virtual business school and enterprise resource planning system integration in energorpojekt group,conference paper
7865,,motivation and multimodal interaction in model-driven educational game design,article
7866,,universal accessibility as a multimodal design issue,article
7867,,an implementation of ray tracing algorithm for the multiprocessor machines,article
7868,,new gait recognition method using kinect stick figure and cbir,conference paper
7869,,designing aircraft cockpit displays: borrowing from multimodal user interfaces,conference paper
7870,,usability issues of e-learning systems: case-study for moodle learning management system,conference paper
7871,,a model-driven approach to content repurposing,article
7872,,literature review in game-based learning,conference paper
7873,,real-time visualization of brain electrical activity,article
7874,,perceptualization of biomedical data: an experimental environment for visualization and sonification of brain electrical activity,review
7875,,effectiveness of game-based learning: influence of cognitive style,conference paper
7876,sladjan babarogic,,author
7877,,using protocols and domain specific languages to achieve compliance of administrative processes with legislation,conference paper
7878,,an algorithm for production planning based on supply chain kpis,article
7879,,an algorithm for customer order fulfillment in a make-to-stock manufacturing system,article
7880,,a domain-specific language for supporting event log extraction from erp systems,conference paper
7881,milica vuckovic,,author
7882,,the specification of etl transformation operations based on weaving models,article
7883,sasa d. lazarevic,,author
7884,,ontology-based multimodal language learning,book chapter
7885,,software quality improvement: a model based on managing factors impacting software quality,article
7886,,software solution for monitoring changes of database elements,article
7887,vidan markovic,,author
7888,,the interface of hypothalamic-pituitary-adrenocortical axis and circulating brain natriuretic peptide in prediction of cardiopulmonary performance during physical stress,article
7889,,a contribution to software development quality management,article
7890,,systolic right ventricular adaptive changes in athletes as predictors of the maximal functional capacity: a pulsed tissue doppler study,article
7891,,"brain natriuretic peptide predicts forced vital capacity of the lungs, oxygen pulse and peak oxygen consumption in physiological condition",article
7892,,a contribution to continual software service improvement based on the six-step service improvement method,article
7893,miroslav v. minovic,,author
7894,,a tool to aid institutions recognize their employees competences acquired by informal learning,conference paper
7895,,gamification ecosystems,conference paper
7896,,using data mining on student behavior and cognitive style data for improving e-learning systems: a case study,article
7897,,elephant herding optimization algorithm for wireless sensor network localization problem,conference paper
7898,,informal learning recognition through a cloud ecosystem,article
7899,,modelling knowledge and game based learning: model driven approach,article
7900,,elbio-framework for learning multimodal biometrics,conference paper
7901,,educational games and it professionals: perspectives from the field,article
7902,,gamification ecosystems,conference paper
7903,,interoperability framework for multimodal biometry: open source in action,article
7904,,gamification ecosystems: current state and perspectives,book chapter
7905,,towards creation of implicit hci model for prediction and prevention of operators’ error,conference paper
7906,,applying technical standards to biometric systems,article
7907,,gamification ecosystems,conference paper
7908,,communicating the user state: introducing cognition-aware computing in industrial settings,article in press
7909,,real-time learning analytics in educational games,conference paper
7910,,enhancing informal learning recognition through trailer project,conference paper
7911,,"trailer project (tagging, recognition, acknowledgment of informal learning experiences): a methodology to make learners' informal learning activities visible to the institutions",article
7912,,visualisation of student learning model in serious games,article
7913,,linux based virtual networking laboratories for software defined networking,article
7914,,cloud based metalearning system for predictive modeling of biomedical data,article
7915,,support platform for learning about multimodal biometrics,article
7916,,hci aspects of social media in collaboration of software developers,article
7917,,game design as a learning tool for the course of computer networks,article
7918,,modeling wealth distribution for 100 reachest people in south-eastern europe,conference paper
7919,,"trailer project overview: tagging, recognition and acknowledgment of informal learning experiences",conference paper
7920,sinisa neskovic,,author
7921,,use of complex event processing engines in time domain astronomy,conference paper
7922,,serbian virtual observatory,conference paper
7923,,a generic architectural framework of municipal information systems: a vision,article
7924,,extending feature models with deep instantiation to manage complexity and dynamism of services,conference paper
7925,,context modeling based on feature models expressed as views on ontologies via mappings,article
7926,,variable neighborhood search and tabu search for the web service selection problem,article
7927,,an approach to defining scope in software product lines for the telecommunication domain,conference paper
7928,,admis: generalized administrative system,conference paper
7929,ilija antovic,,author
7930,,"phenetic relationships of six species of mullets (mugilidae) from the south adriatic, as inferred from the study of the visceral and dermal skeleton",article
7931,,different insulin treatment regimens in patient with diabetes mellitus type 1: effects on quality of life [uticaj razlicitih rezima insulinske terapije na kvalitet zivota obolelih od dijabetesa melitusa tipa 1],article
7932,marina jovanovic milenkovic,,author
7933,,evaluation of asian university rankings: position and perspective of leading indian higher education institutions,article
7934,,excellence with leadership: the crown indicator of scimago institutions rankings iber report,article
7935,,applying electronic documents in development of the healthcare information system in the republic of serbia,article
7936,,infrastructural model for the healthcare system based on emerging technologies,article
7937,,the crossing speed of elderly pedestrians [brzina hoda starijih pesaka na pesackim prelazima],article
7938,,introduction and implementation of electronic health card,book chapter
7939,,determining the number and location of winter road maintenance depots–a case study of the district road network in serbia,article
7940,,contribution to accident prediction models development for rural two-lane roads in serbia [doprinos razvoju modela predvidjanja saobracajnih nezgoda za vangradske dvotracne puteve u srbiji],article
7941,,electronic health system - development and implementation into the health system of the republic of serbia [elektronski zdravstveni sistem - razvoj i uvodstrokeenje u zdravstveni sistem republike srbije],article
7942,,decision-support framework for selecting the optimal road toll collection system,article
7943,,the effects of mobile phone use on pedestrian crossing behaviour at unsignalized intersections - models for predicting unsafe pedestrians behaviour,article
7944,,beyond the equal-weight framework of the networked readiness index: a multilevel i-distance methodology,article
7945,,communication via the web and sms services in the healthcare system in the republic of serbia,article
7946,,sustainable development in the e-health sector of the european union,article
7947,milos milic,,author
7948,milos milovanovic,,author
7949,,do micro-breaks increase the attention level of an assembly worker? an erp study,article
7950,,neuroergonomics method for measuring the influence of mental workload modulation on cognitive state of manual assembly worker,conference paper
7951,,impact of screen aspect ratio on reading electronic material,article
7952,,investigating brain dynamics in industrial environment – integrating mobile eeg and kinect for cognitive state detection of a worker,conference paper
7953,ognjen s. pantelic,,author
7954,,representing it performance management as metamodel,article
7955,,analysis of available cloud computing models to support cloud adoption decision process in an enterprise,conference paper
7956,,general model for adequate cloud service selection using decision making methods,article
7957,marko petrovic,,author
7958,,"modelling, analysis and control of large-scale interconnected economic systems.",conference paper
7959,,the appearance of toxic amount of nitrites in soil,article
7960,,availability of residual nitrogen from fertilizers in soil,article
7961,,uveitis and autoimmunity against the retina [les uvéites et l'auto-immunité contre la rétine.],article
7962,,the study of the fertilizers influence on soil composition and water pollution,article
7963,,the preparation and use of radiolabelled specific helminth antibodies,article
7964,dusan savic,,author
7965,bojan b. tomic,,author
7966,,an explanation facility framework for rule-based systems,article
7967,,konsultant: a knowledge base for automated interpretation of profit values,conference paper
7968,,automated interpretation of key performance indicator values and its application in education,article
7969,nina turajlic,,author
7970,,a boolean consistent fuzzy inference system for diagnosing diseases and its application for determining peritonitis likelihood,article
7971,,combining boolean consistent fuzzy logic and ahp illustrated on the web service selection problem,article
7972,,extending ahp with boolean consistent fuzzy logic and its application in web service selection,conference paper
7973,,a hybrid metaheuristic based on variable neighborhood search and tabu search for the web service selection problem,article
7974,zoran v. sevarac,,author
7975,,smartmetals: a new method for metal identification based on fuzzy logic,article
7976,,application of fuzzy ahp method for choosing a technology within service company,article
7977,,neuro fuzzy reasoner for student modeling,conference paper
7978,,follow-up and risk assessment in patients with myocardial infarction using artificial neural networks,article
7979,srdja bjeladinovic,,author
7980,,a fresh approach for hybrid sql/nosql database design based on data structuredness,article in press
7981,marija s. bogicevic sretenovic,,author
7982,ivan milenkovic,,author
7983,nikola milikic,,author
7984,elena milovanovic,,author
7985,ana r. pajic,,author
7986,,metamodel of the artifact-centric approach to event log extraction from erp systems,article
7987,dejan stojimirovic,,author
7988,uros sosevic,,author
7989,,educational website conversion improvement using gamification,conference paper
7990,,gamified educational website conversion optimization,conference paper
7991,milos zlatkovic,,author
7992,jelena ljubenovic,,author
7993,mina marjanovic,,author
7994,bojan marceta,,author
7995,andela pejanovic,,author
7996,sofija prokic,,author
7997,tatjana stojanovic,,author
