Id,department,faculty,publication,publication_type,node_type
4251,katedra za racunarstvo i informatiku,matematicki fakultet,,,department
4466,katedra za racunarsku tehniku i informatiku,elektrotehnicki fakultet,,,department
4889,katedra za informacione sisteme,fakultet organizacionih nauka,,,department
4899,katedra za softversko inzenjerstvo,fakultet organizacionih nauka,,,department
5197,katedra za informacione tehnologije,fakultet organizacionih nauka,,,department
4252,,,gd-sat model and crossover line,article,paper
4253,,,wingclc - a workbench for formally describing figures,conference paper,paper
4352,,,urbiva: uniform reduction to bit-vector arithmetic,conference paper,paper
4255,,,geothms - a web system for euclidean constructive geometry,article,paper
4256,,,"integrating dynamic geometry software, deduction systems, and theorem repositories",conference paper,paper
4422,,,towards understanding triangle construction problems,conference paper,paper
4355,,,formal correctness proof for dpll procedure,article,paper
4259,,,geometry constructions language,conference paper,paper
4260,,,system description: gclcprover + geothms,conference paper,paper
4347,,,argo-lib: a generic platform for decision procedures,conference paper,paper
4423,,,computer theorem proving for verifiable solving of geometric construction problems,conference paper,paper
4424,,,simple algorithm portfolio for sat,article,paper
4264,,,the area method: a recapitulation,article,paper
4265,,,a vernacular for coherent logic,conference paper,paper
4266,,,automatic synthesis of decision procedures: a case study of ground and linear arithmetic,conference paper,paper
4420,,,constructibility classes for triangle location problems,article,paper
4268,,,proving correctness of a krk chess endgame strategy by sat-based constraint solving,article,paper
4428,,,cdcl-based abstract state transition system for coherent logic,conference paper,paper
4270,,,automated generation of machine verifiable and readable proofs: a case study of tarski’s geometry,article,paper
4345,,,proving correctness of a krk chess endgame strategy by using isabelle/hol and z3,conference paper,paper
4272,,,simple characterization of functionally complete one-element sets of propositional connectives,article,paper
4273,,,gclc - a tool for constructive euclidean geometry and more than that,conference paper,paper
4274,,,on different models for generating random sat problems,article,paper
4275,,,a general setting for flexibly combining and augmenting decision procedures,article,paper
4276,,,n-gram-based classification and unsupervised hierarchical clustering of genome sequences,article,paper
4277,,,a variant of n-gram based language classification,conference paper,paper
4278,,,automated theorem proving in geogebra: current achievements,article,paper
4279,,,ursa: a system for uniform reduction to sat,article,paper
4360,,,formalization of abstract state transition systems for sat,article,paper
4281,,,logical analysis of hash functions,conference paper,paper
4282,,,a coherent logic based geometry theorem prover capable of producing formal and readable proofs,conference paper,paper
4433,,,random k-gd-sat model and its phase transition,article,paper
4284,,,"constructions, instructions, interactions",article,paper
4285,,,learning strategies for mechanised building of decision procedures,conference paper,paper
4286,,,a framework for the flexible integration of a class of decision procedures into theorem provers,conference paper,paper
4431,,,instance-based selection of policies for sat solvers,conference paper,paper
4288,,,automatic verification of regular constructions in dynamic geometry systems,conference paper,paper
4416,,,structural disorder of plasmid-encoded proteins in bacteria and archaea,article,paper
4290,,,towards full lexical recognition,conference paper,paper
4417,,,bioinformatics analysis of disordered proteins in prokaryotes,article,paper
4395,,,sars-cov genome polymorphism: a bioinformatics study,article,paper
4293,,,corpora issues in validation of serbian wordnet,conference paper,paper
4419,,,hierarchical vs. flat n-gram-based text categorization: can we do better?,article,paper
4295,,,managing text as data,conference paper,paper
4396,,,could n-gram analysis contribute to genomic island determination?,article,paper
4408,,,ontology-driven conceptual document classification,conference paper,paper
4397,,,bioinformatics analysis of sars coronavirus genome polymorphism,article,paper
4299,,,towards a database for genotype-phenotype association research: mining data from encyclopaedia,article,paper
4300,,,multimedia database of the cultural heritage of the balkans,conference paper,paper
4402,,,n-gram characterization of genomic islands in bacterial genomes,article,paper
4302,,,comparison of random s-box generation methods,article,paper
4350,,,formalizing frankl's conjecture: fc-families,conference paper,paper
4304,,,extremal families containing no two sets and their union,conference paper,paper
4305,,,"classification of small (0, 1) matrices",article,paper
4435,,,statistical dependence of protein secondary structure on amino acid bigrams [statisticka zavisnost sekundarne strukture proteina od frekvencije bigrama aminokiselina],article,paper
4338,,,a reexamination of the propensities of amino acids towards a particular secondary structure: classification of amino acids based on their chemical structure,conference paper,paper
4308,,,on the number of equivalence classes of invertible boolean functions under action of permutation of variables on domain and range,article,paper
4309,,,almost weakly self-dual bases for finite fields,article,paper
4342,,,what are preferred water-aromatic interactions in proteins and crystal structures of small molecules?,article,paper
4343,,,a reexamination of correlations of amino acids with particular secondary structures,article,paper
4312,b'',b'',b'the number of primes \xe2\x88\x91ni=1(-1)n-ii! is finite',b'article',b'paper'
4313,,,solving the two-dimensional packing problem with m-m calculus,article,paper
4314,,,ga inspired heuristic for uncapacitated single allocation hub location problem,conference paper,paper
4315,,,assessment of possible association between rs3787016 and prostate cancer risk in serbian population,article,paper
4316,,,fine-grained tournament selection operator in genetic algorithms,article,paper
4317,,,a genetic algorithm for the routing and carrier selection problem,article,paper
4318,,,the modification of genetic algorithms for solving the balanced location problem,conference paper,paper
4319,,,a new genetic representation for quadratic assignment problem,article,paper
4411,,,novel approaches to automated personality classification: ideas and their potentials,conference paper,paper
4321,,,variable neighborhood search for multiple level warehouse layout problem,article,paper
4413,,,electromagnetism-like algorithm for support vector machine parameter tuning,article,paper
4323,,,an integer linear formulation for the file transfer scheduling problem,article,paper
4324,,,solving the simple plant location problem by genetic algorithm,article,paper
4379,,,an integer linear programming formulation and genetic algorithm for the maximum set splitting problem,article,paper
4326,,,two hybrid genetic algorithms for solving the super-peer selection problem,conference paper,paper
4327,,,genetic algorithm for solving uncapacitated multiple allocation hub location problem,article,paper
4328,,,a new nonlinear model for the two-dimensional rectangle packing problem,article,paper
4329,,,variable neighborhood search for solving bandwidth coloring problem,article,paper
4330,,,two genetic algorithms for solving the uncapacitated single allocation p-hub median problem,article,paper
4331,,,solving the maximally balanced connected partition problem in graphs by using genetic algorithm,article,paper
4414,,,an electromagnetism metaheuristic for solving the maximum betweenness problem,article,paper
4333,,,a genetic algorithm for solving multiple warehouse layout problem,article,paper
4337,,,plant regeneration in leaf culture of centaurium erythraea rafn. part 2: the role of arabinogalactan proteins,article,paper
4339,,,what are the preferred horizontal displacements of aromatic-aromatic interactions in proteins? comparison with the calculated benzene-benzene potential energy surface,article,paper
4340,,,customizing a functional programming language for web development,article,paper
4341,,,new software for collecting data from the organized cervical cancer screening program in serbia. are we on the threshold of a new screening registry? - a multicentric study,article,paper
4401,,,milutin milankovic digital legacy,conference paper,paper
4372,,,ccd microscopy - image analysis by group for intelligent systems (gis),review,paper
4438,,,using simplex method in verifying software safety,article,paper
4380,,,automatic construction of surface model,conference paper,paper
4353,,,mesat: multiple encodings of csp to sat,article,paper
4354,,,formal verification of a modern sat solver by shallow embedding into isabelle/hol,article,paper
4356,,,formalization and implementation of modern sat solvers,article,paper
4357,,,formalization of incremental simplex algorithm by stepwise refinement,conference paper,paper
4358,b'',b'',b'fast formal proof of the erd\xc5\x91s\xe2\x80\x93szekeres conjecture for convex polygons with at most 6 points',b'article in press',b'paper'
4361,,,metaheuristic methods for solving the bilevel uncapacitated facility location problem with clients' preferences,article,paper
4362,,,a system for neural acoustics analysis,conference paper,paper
4461,,,fuzzy grasp with path relinking for the risk-constrained cash-in-transit vehicle routing problem,article in press,paper
4364,,,an efficient genetic algorithm for solving the multi-level uncapacitated facility location problem,article,paper
4365,,,parking search optimization in urban area,article,paper
4366,,,an efficient evolutionary algorithm for locating long-term care facilities,article,paper
4367,,,an extension of maximal covering location problem based on the choquet integral,article,paper
4368,,,"comparison of interpolation polynomials with divided differences, interpolation polynomials with finite differences, and quadratic functions obtained by the least squares method in modeling of chromatographic responses",article,paper
4369,,,hybrid metaheuristic method for determining locations for long-term health care facilities,article,paper
4370,,,an efficient memetic algorithm for the uncapacitated single allocation hub location problem,article,paper
4459,,,parallel vns for bus terminal location problem,article,paper
4458,,,two efficient hybrid metaheuristic methods for solving the load balance problem,article,paper
4374,,,technology enhancing mathematics learning behaviours: shifting learning goals from “producing the right answer” to “understanding how to address current and future mathematical challenges”,article in press,paper
4375,,,efficiency of using vns algorithm for forming heterogeneous groups for cscl learning,article,paper
4376,,,metaheuristic approaches to solving large-scale bilevel uncapacitated facility location problem with clients' preferences,article,paper
4377,,,a note on the use of choquet and sugeno integrals in minimal and maximal covering location problems,conference paper,paper
4378,,,solving minimal covering location problem (minclp) with the aid of fuzzy sets,conference paper,paper
4381,,,exponential quality function for community detection in complex networks,article in press,paper
4382,,,the role of fuzzy sets in improving maximal covering location problem (mclp),conference paper,paper
4460,,,a new fuzzy version of the risk-constrained cash-in-transit vehicle routing problem,article,paper
4384,,,a hybridization of an evolutionary algorithm and a parallel branch and bound for solving the capacitated single allocation hub location problem,article,paper
4385,,,new model of maximal covering location problem with fuzzy conditions,article,paper
4386,,,parameter adjustment for genetic algorithm for two-level hierarchical covering location problem,article,paper
4387,,,memetic algorithm for solving the multilevel uncapacitated facility location problem,article,paper
4388,,,fuzzy covering location problems with different aggregation operators,article,paper
4389,,,adaptation of edges in a triangular mesh,conference paper,paper
4391,,,software tools for simultaneous data visualization and t cell epitopes and disorder prediction in proteins,article,paper
4392,,,"epitope distribution in ordered and disordered protein regions - part a. t-cell epitope frequency, affinity and hydropathy",article,paper
4394,,,n-gram analysis of cog categorized protein sequences,article,paper
4399,,,finding statistically significant repeats in nucleic acids and proteins,article,paper
4400,,,epitope distribution in ordered and disordered protein regions. part b - ordered regions and disordered binding sites are targets of t- and b-cell immunity,article,paper
4403,,,solving finite-domain linear constraints in presence of the alldifferent,article,paper
4404,,,extending smt solvers with support for finite domain alldifferent constraint,article,paper
4405,,,parallelizing simplex within smt solvers,article,paper
4407,,,a variant of n-gram based language-independent text categorization,article,paper
4409,,,serbian text categorization using byte level n-grams,conference paper,paper
4410,,,an improved electromagnetism-like method for feature selection,article,paper
4412,,,case-based reasoning and electromagnetism-like method in construction management,article,paper
4415,,,electromagnetism metaheuristic algorithm for solving the strong minimum energy topology problem,article,paper
4418,,,computational analysis of position-dependent disorder content in disprot database,article,paper
4421,,,argotrics–automated triangle construction solver,article,paper
4425,,,mapping efficiency and information content,article,paper
4434,,,software verification and graph similarity for automated evaluation of students' assignments,article,paper
4427,,,statistical methodology for comparison of sat solvers,conference paper,paper
4429,,,pseudo-random number generator based on discrete-space chaotic map,article,paper
4430,,,sparse regression interaction models for spatial prediction of soil properties in 3d,article,paper
4432,,,measuring similarity of graph nodes by neighbor matching,article,paper
4436,,,ensuring safe usage of buffers in programming language c,conference paper,paper
4437,,,development and evaluation of lav: an smt-based error finding platform: system description,conference paper,paper
4439,,,semi-automatic extraction of multiword terms from domain-specific corpora,article,paper
4440,,,enriching serbianwordnet and electronic dictionaries with terms from the culinary domain,conference paper,paper
4861,,,"a new course on r&amp;d project management in computer science and engineering: subjects taught, rationales behind, and lessons learned",book chapter,paper
4442,,,an efficient variable neighborhood search for solving a robust dynamic facility location problem in emergency service network,article,paper
4443,,,modeling of hilic retention behavior with theoretical models and new spline interpolation technique,article,paper
4444,,,a two-phase optimization method for solving the multi-type maximal covering location problem in emergency service networks,article,paper
4445,,,a hybrid metaheuristic method for the deterministic and robust uncapacitated multiple allocation p-hub centre problem,article,paper
4446,,,a vns-lp algorithm for the robust dynamic maximal covering location problem,article,paper
4447,,,memetic algorithm for the balanced resource location problem with preferences,conference paper,paper
4448,,,solving the robust two-stage capacitated facility location problem with uncertain transportation costs,article,paper
4449,,,hybrid metaheuristic method for solving a multi-period emergency service location problem,article,paper
4450,,,novel formulations and vns-based heuristics for single and multiple allocation p-hub maximal covering problems,article,paper
4451,,,a memetic algorithm for solving two variants of the two-stage uncapacitated facility location problem,article,paper
4452,,,efficient metaheuristic approaches for exploration of online social networks,book chapter,paper
4453,,,automatic drug adverse reaction discovery from parenting websites using disproportionality methods,conference paper,paper
4454,,,extracting drug adverse and beneficial reactions in pediatric population from healthcare social network,conference paper,paper
4455,,,driver monitoring algorithm for advanced driver assistance systems,conference paper,paper
4456,,,experience from porting complex algorithms on heterogeneous multi-core systems,conference paper,paper
4457,,,optimization of driver monitoring adas algorithm for heterogeneous platform,conference paper,paper
4462,,,erythropoietin in predicting prognosis in patients with acute-on-chronic liver failure,article,paper
4463,,,change in the incidence and anatomic distribution of colorectal adenoma and cancer over a period of 20 years – a single center experience [promene u incidenci i anatomskoj distribuciji kolorektalnih adenoma i karcinoma u periodu od 20 godina – iskustvo jednog centra],article,paper
4464,,,doppler ultrasonography combined with transient elastography improves the non-invasive assessment of fibrosis in patients with chronic liver diseases,article,paper
4465,,,erythropoietin in the evaluation of treatment outcomes in patients with polytrauma,article,paper
4874,,,testing artificial intelligence knowledge with interactive web system [veb sistem za polaganje testova znanja iz inteligentnih sistema],conference paper,paper
4468,,,the vsds environment based laboratory in computer architecture and organisation,article,paper
4469,,,ewisens: educational wireless sensor network simulator,conference paper,paper
4470,,,sentiment classification of documents in serbian: the effects of morphological normalization,conference paper,paper
4471,,,text content analysis using ontology and semantic similarity [analiziranje sadrzaja tekstova upotrebom ontologije i semanticke slicnosti],conference paper,paper
4472,,,cal2: computer aided learning in computer architecture laboratory,article,paper
4801,,,a module for automatic assessment and verification of students' work in digital logic design,conference paper,paper
4474,,,software framework for development and running multiplayer games [softverski sistem za razvoj i pokretanje igara za vise igraca],conference paper,paper
4475,,,castle: computer architecture self-testing and learning system,conference paper,paper
4790,,,sdlds-system for digital logic design and simulation,article,paper
4477,,,insos - educational system for teaching intelligent systems,article,paper
4744,,,a survey and evaluation of simulators suitable for teaching courses in computer architecture and organization,review,paper
4479,,,algorithm for calculating influence of power transformer oil temperature change on the accuracy of all-acoustic non-iterative partial discharge localization,article,paper
4480,,,a software system for determining the semantic similarity of short texts in serbian [softverski sistem za odredivanje semanticke slicnosti kratkih tekstova na srpskom jeziku],conference paper,paper
4481,,,reliable baselines for sentiment analysis in resource-limited languages: the serbian movie review dataset,conference paper,paper
4482,,,implementation of android application for faculty employees [realizacija android aplikacije za potrebe zaposlenih na fakultetu],conference paper,paper
4483,,,a memory system for education,article,paper
4484,,,software package for an educational computer system,article,paper
4485,,,flexible web-based educational system for teaching computer architecture and organization,article,paper
4863,,,software system for expert systems learning,conference paper,paper
4855,,,a systematic approach to generation of new ideas for phd research in computing,book chapter,paper
4488,,,serious gaming based on kinect technology for autistic children in serbia,conference paper,paper
4792,,,digital logic simulator,conference paper,paper
4490,,,integration of simulators in virtual 3d computer science classroom,conference paper,paper
4491,,,a survey and evaluation of state-of-the-art intelligent question routing systems,article,paper
4862,,,nutie - a modern open source natural language processing toolkit,conference paper,paper
4799,,,a classification of elearning tools based on the applied multimedia,article,paper
4494,,,feasibility of applying data mining techniques for predicting technical difficulties during laparoscopic cholecystectomy based on routine patient work-up in a small community hospital,article,paper
4866,,,a classification of mutational approaches for genetic search,conference paper,paper
4867,,,a software agent for social networks using natural language processing techniques,conference paper,paper
4497,,,wasp: a web-based simulator for an educational pipelined processor,article,paper
4498,,,a survey of intelligent question routing systems,conference paper,paper
4499,,,sentiment classification of documents in serbian: the effects of morphological normalization and word embeddings,article,paper
4500,,,semantic similarity of short texts in languages with a deficient natural language processing support,article,paper
4501,,,discovering models of parallel workflow processes from incomplete event logs,conference paper,paper
4502,,,an interactive tool for uml class model evolution in database applications,article,paper
4503,,,a retrospective on user interface development technology,review,paper
4504,,,towards understanding of classes versus data types in conceptual modeling and uml,article,paper
4505,,,domain mapping using extended uml object diagrams,article,paper
4533,,,control flow regeneration for software pipelined loops with conditions,review,paper
4507,,,discovering block-structured parallel process models from causally complete event logs,article,paper
4534,,,predicated software pipelining technique for loops with conditions,conference paper,paper
4509,,,capsule-based user interface modeling for large-scale applications,article,paper
4510,,,empirical analysis of gui programming concerns,article,paper
4511,,,socratenon - a web-based training system with an intellect,conference paper,paper
4876,,,a classification and comparison of data mining algorithms for wireless sensor networks,conference paper,paper
4539,,,sources of parallelism in software pipelining loops with conditional branches,article,paper
4514,,,a tree-driven multiple-rate model of time measuring in object-oriented real-time systems,conference paper,paper
4765,,,research and development in e-business on the internet,article,paper
4517,,,automatic model transformations using extended uml object diagrams in modeling environments,article,paper
4518,,,on the semantics of associations and association ends in uml,article,paper
4877,,,a survey of object-relational transformation patterns for high-performance uml-based applications,conference paper,paper
4520,,,capwise-a domain-specific language for developing graphical user interfaces,conference paper,paper
4555,,,formal model of software pipelining loops with conditions,conference paper,paper
4522,,,practical large-scale model-driven development of business applications with an executable uml,conference paper,paper
5236,,,software support for ground control station for unmanned aerial vehicle,conference paper,paper
4524,,,a heuristic algorithm for dynamic task scheduling in highly parallel computing systems,article,paper
4525,,,visualization of 3d fields and medical data and using vrml,article,paper
4526,,,modeling distributed system entities which communicate asynchronous via message passing in java,article,paper
4527,,,evaluation of simulators for teaching computer networks,article,paper
4529,,,interactive visualization of 3d fields and images on inexpensive workstations using vrml,conference paper,paper
4530,,,web laboratory for computer network,article,paper
4531,,,java cryptography &amp; attribute certificate management,article,paper
4848,,,an accurate performance model for network-on-chip and multicomputer interconnection networks,article,paper
4535,,,dynamic task scheduling with precedence constraints and communication delays,conference paper,paper
5252,,,bridging user context and design models to build adaptive user interfaces,article,paper
5253,,,reusable design of data visualization software architecture for unmanned aerial vehicles,article,paper
4538,,,routing function and deadlock avoidance in a star graph interconnection network,article,paper
4781,,,reengineering the sleep simulator in a concurrent and distributed programming course,article,paper
4541,,,computer network simulation and visualization tool for educational purpose,conference paper,paper
4542,,,fault tolerance of the star graph interconnection network,article,paper
4544,,,a comparison and security analysis of the cloud computing software platforms,conference paper,paper
4545,,,web-based grid-enabled interaction with 3d medical data,article,paper
4546,,,communication aspects of the star graph interconnection network,article,paper
5268,,,improving design of ground control station for unmanned aerial vehicle: borrowing from design patterns,conference paper,paper
4548,,,wnetsim: a web-based computer network simulator,article,paper
5272,,,formal specification of usability measures in model-driven development of context-sensitive user interfaces,conference paper,paper
4850,,,explanation of performance degradation in turn model,article,paper
4551,,,fpga accelerator for floating-point matrix multiplication,article,paper
4834,,,coala - system for visual representationof cryptography algorithms,article,paper
4853,,,flow-based anomaly intrusion detection system using two neural network stages,article,paper
4554,,,java cryptography &amp; x.509 authentication,review,paper
5280,,,languages for model-driven development of user interfaces: review of the state of the art,review,paper
4755,,,approach to characterization of parallel applications for dsm systems,conference paper,paper
4558,,,an example of the efficient message protocol for industrial lan,article,paper
4835,,,self-similar cross-traffic analysis as a foundation for choosing among active available bandwidth measurement strategies,article,paper
4828,,,improving source code plagiarism detection: lessons learned,conference paper,paper
4830,,,"a software tool that helps teachers in handling, processing and understanding the results of massive exams",conference paper,paper
4757,,,memory consistency models for shared memory multiprocessors and dsm systems,conference paper,paper
4758,,,scowl: a tool for characterization of parallel workload and its use on splash-2 application suite,conference paper,paper
4816,,,parallelization of gst algorithm for source code similarity detection [paralelizacija gst algoritama za detekciju slicnosti u programskom kodu],conference paper,paper
4760,,,automating the knowledge assessment workflow for large student groups: a development experience,article,paper
4566,,,effects of user behavior and internet provider policy on the accessibility of sezampro on-line system,conference paper,paper
4567,,,cisc versus risc processors for graphics: a simulation study,article,paper
4568,,,web performance evaluation for internet of things applications,article,paper
4609,,,distributed shared memory: concepts and systems,article,paper
4777,,,identity provider deployment based on container technology,conference paper,paper
4571,,,development of electronic forms and a java parser for processing data about university teaching stuff in accreditation process,conference paper,paper
4572,,,comparison of three protocols for entry consistency maintenance based on mva algorithm,conference paper,paper
4573,,,remote control of industrial robot lola 50 using wireless communication and android device [udaljeno upravljanje industrijskim robotom lola 50 upotrebom wireless komunikacije i android uredaja],conference paper,paper
4767,,,test: tools for evaluation of students' tests - a development experience,conference paper,paper
4577,,,intelligent crawler for web forums based on improved regular expressions,conference paper,paper
4578,,,a comparison of three protocols for entry consistency maintenance based on mva algorithm,conference paper,paper
4579,,,reflective memory system based on a grid of buses that selectively uses relaxed memory consistency models,conference paper,paper
4818,,,prototype implementation of segment assembling software,article,paper
4581,,,an analysis of scientific publications from serbia: the case of computer science,conference paper,paper
4821,,,a comparison of software tools for plagiarism detection in programming assignments,article,paper
4583,,,topic models and advanced algorithms for profiling of knowledge in scientific papers,conference paper,paper
