Id,department,faculty,publication,publication_type,node_type
5005,,,a knowledge-based system for the strategic control level of robots in flexible manufacturing cells,article,paper
5006,,,social presence and interaction in learning environments: the effect on student success,article,paper
5007,,,"not fade away?: commentary to paper education and the semantic web (ijaied vol.14, 2004)",article,paper
5497,,,grading students' programming and soft skills with open badges: a case study,article in press,paper
5146,,,enhancing learning object content on the semantic web,conference paper,paper
5148,,,content and knowledge provision service - a way to build intellectual capital in learning organizations,article,paper
5011,,,review of new expert systems in medicine [pregled novijih medicinskih ekspertnih sistema.],review,paper
5012,,,education and the semantic web,article,paper
5150,,,ontology-based automatic annotation of learning content,conference paper,paper
5065,,,adopting software engineering trends in ai,article,paper
5015,,,think ahead: evaluation and standardisation issues for e-learning applications,article,paper
5016,,,comex: a cost management expert system,article,paper
5152,,,leveraging the semantic web for providing educational feedback,conference paper,paper
5018,,,a framework for building intelligent manufacturing systems,article,paper
5019,,,on the notion of components for intelligent tutoring systems,conference paper,paper
5020,,,interoperable petri net models via ontology,article,paper
5159,,,automatic annotation of content units in tangram,conference paper,paper
5022,,,semi-automatic generation of quizzes and learning artifacts from linked data,conference paper,paper
5071,,,ontology modeling and mda,review,paper
5160,,,dynamic assembly of personalized learning content on the semantic web,conference paper,paper
5074,,,converting uml to owl ontologies,conference paper,paper
5026,,,knowledge-based control of rotary kiln,conference paper,paper
5027,,,designing an intelligent tutoring system in the domain of formal languages,conference paper,paper
5028,,,rex: robotics expert systems building tool,article,paper
5029,,,designing knowledge-based systems for optimal performance,conference paper,paper
5030,,,bridging concrete and abstract syntax of web rule languages,conference paper,paper
5164,,,loco-analyst: semantic web technologies in learning content usage analysis,article,paper
5032,,,object-oriented modelling of expert system reasoning process,conference paper,paper
5165,,,visualizing the affective structure of students interaction,conference paper,paper
5166,,,tangram for personalized learning using the semantic web technologies,article,paper
5035,,,model driven engineering of a tableau algorithm for description logics,article,paper
5036,,,towards more intelligent assessment systems,book chapter,paper
5037,,,features of second-generation expert systems-an extended overview,review,paper
5059,,,a uml profile for owl ontologies,conference paper,paper
5039,,,remarks on the variety and significance of advanced learning technologies,article,paper
5040,,,using semantic web technologies to analyze learning content,article,paper
5041,,,code tutor,conference paper,paper
5042,,,applying semantic web to e-tourism,book chapter,paper
5172,,,ontologies for reusing learning object content,conference paper,paper
5044,,,model transformations to bridge concrete and abstract syntax of web rule languages,article,paper
5045,,,architectural patterns in pedagogical agents,conference paper,paper
5176,,,a gui for jess,article,paper
5047,,,using data mining to improve digital library services,article,paper
5178,,,specifying cases for tel in an sme,conference paper,paper
5180,,,a comparative study of software tools for user story management,conference paper,paper
5069,,,incorporating the ontology paradigm into a mainstream programming environment,article,paper
5051,,,emotional semantic grid,conference paper,paper
5052,,,artificial intelligence applications and innovations,conference paper,paper
5053,,,immunoglobulin and albumin preparations and transfusion transmisstve diseases,article,paper
5056,,,penetrating the omerta of predatory publishing: the romanian connection,article,paper
5060,,,confirmation of anti-hcv results in blood donors,article,paper
5067,,,functional programming way to interact with software attacks and vulnerabilities,conference paper,paper
5068,,,air - a platform for intelligent systems,conference paper,paper
5073,,,highway: a domain specific language for enterprise application integration,conference paper,paper
5077,,,leveraging the social semantic web in intelligent tutoring systems,conference paper,paper
5078,,,a semantic-rich framework for learning software patterns,conference paper,paper
5080,,,self-regulated learners and collaboration: how innovative tools can address the motivation to learn at the workplace?,conference paper,paper
5081,,,requirements elicitation in culturally and technologically diverse settings,conference paper,paper
5082,,,comprehension and learning of social goals through visualization,article,paper
5083,,,an environment for project-based collaborative learning of software design patterns,article,paper
5086,,,learning object context for adaptive learning design,conference paper,paper
5087,,,ontologies for effective use of context in e-learning settings,review,paper
5089,,,towards a semantic-rich collaborative environment for learning software patterns,conference paper,paper
5091,,,leveraging semantic technologies for harmonization of individual and organizational learning,conference paper,paper
5092,,,repurposing learning object components,conference paper,paper
5093,,,semantically-enabled project-based collaborative learning of software patterns,conference paper,paper
5095,,,2nd int'l workshop on open badges in education (obie 2015): from learning evidence to learning analytics,conference paper,paper
5096,,,automated semantic tagging of textual content,article,paper
5097,,,linked data metrics for flexible expert search on the open web,conference paper,paper
5098,,,factors influencing beliefs for adoption of a learning analytics tool: an empirical study,article,paper
5099,,,the social semantic web and workplace learning,book chapter,paper
5100,,,utility of ontology extraction tools in the hands of educators,conference paper,paper
5101,,,ontology-based content model for scalable content reuse,conference paper,paper
5102,,,lexical semantic relatedness for twitter analytics,conference paper,paper
5103,,,evaluating an intelligent tutoring system for design patterns: the depths experience,article,paper
5104,,,intelligent and innovative support of collaborative learning activities (wiiscola),conference paper,paper
5106,,,rysannmd: a biomedical semantic annotator balancing speed and accuracy,article,paper
5108,,,semantic annotation in biomedicine: the current landscape,review,paper
5109,,,evolutionary fine-tuning of automated semantic annotation systems,article,paper
5111,,,an approach to folksonomy-based ontology maintenance for learning environments,article,paper
5112,,,collaborative learning in online study groups: an evolutionary game theory perspective,article,paper
5113,,,filtering inaccurate entity co-references on the linked open data,conference paper,paper
5500,,,learn-b: a social analytics-enabled tool for self-regulated workplace learning,conference paper,paper
5116,,,ontology-based learning content repurposing,conference paper,paper
5118,,,bridging knowledge bases' heterogeneity using xml/xslt approach,conference paper,paper
5119,,,the social semantic web in intelligent learning environments: state of the art and future challenges,article,paper
5120,,,from prediction to impact: evaluation of a learning analytics retention program,conference paper,paper
5121,,,from study tactics to learning strategies: an analytical method for extracting interpretable representations,article in press,paper
5123,,,can educators develop ontologies using ontology extraction tools: an end-user study,conference paper,paper
5124,,,generating context-related feedback for teachers,article,paper
5125,,,personal learning environments on the social semantic web,article,paper
5127,,,exploring student interactions with preparation activities in a flipped classroom experience,article in press,paper
5130,,,the state of the art in semantic relatedness: a framework for comparison,article in press,paper
5132,,,automated classification and localization of daily deal content from the web,article,paper
5133,,,identifying engagement patterns with video annotation activities: a case study in professional development,article,paper
5134,,,semantic tagging with linked open data,conference paper,paper
5137,,,project-based collaborative learning environment with context-aware educational services,conference paper,paper
5139,,,e-learning meets the social semantic web,conference paper,paper
5140,,,semantic technologies for socially-enhanced context-aware mobile learning,conference paper,paper
5141,,,an empirical evaluation of ontology-based semantic annotators,conference paper,paper
5143,,,achieving knowledge interoperability: an xml/xslt approach,article,paper
5494,,,paperista: visual exploration of semantically annotated research papers,conference paper,paper
5147,,,a qualitative evaluation of evolution of a learning analytics tool,article,paper
5149,,,leveraging folksonomies for ontology evolution in e-learning environments,conference paper,paper
5151,,,learning object context on the semantic web,conference paper,paper
5153,,,students online interaction in a blended learning environment - a case study of the first experience in using an lms,conference paper,paper
5154,,,"social networking, teaching, and learning",review,paper
5155,,,1stinternational workshop on learning analytics and linked data,conference paper,paper
5156,,,electronic commerce meets the semantic web,article,paper
5157,,,looking for experts? what can linked data do for you?,conference paper,paper
5158,,,using online presence data for recommending human resources in the opal project,conference paper,paper
5161,,,semantic web technologies for the integration of learning tools and context-aware educational services,conference paper,paper
5496,,,discovering the dynamics of terms semantic relatedness through twitter,conference paper,paper
5163,,,ontologies to support learning design context,conference paper,paper
5498,,,self-regulated workplace learning: a pedagogical framework and semantic web-based environment,article,paper
5169,,,ontology extraction tools: an empirical study with educators,article,paper
5492,,,semantic web and linked learning to support workplace learning,conference paper,paper
5493,,,a semantic web-enabled tool for self-regulated learning in the workplace,conference paper,paper
5173,,,generating actionable predictive models of academic performance,conference paper,paper
5174,,,what do cmooc participants talk about in social media?: a topic analysis of discourse in a cmooc,conference paper,paper
5175,,,towards a comprehensive call ontology for research 2.0,conference paper,paper
5177,,,learning analytics to unveil learning strategies in a flipped classroom,article,paper
5179,,,student modeling and assessment in intelligent tutoring of software patterns,article,paper
5181,,,online presence in adaptive learning on the social semantic web,conference paper,paper
5473,,,a comparative analysis of data warehouse data models,conference paper,paper
5184,,,towards business process catalog for cloud-enabled service oriented architectures,conference paper,paper
5491,,,a comparison and integration of ontologies suitable for interoperability extension of scor model,conference paper,paper
5188,,,a direct approach to physical data vault design,article,paper
5189,,,semantic mediation for standard-based b2b interoperability,article,paper
5190,,,towards model-driven approach for rapid erp development,conference paper,paper
5191,,,a semantic-mediation architecture for interoperable supply-chain applications,article,paper
5478,,,domain/mapping model: a novel data warehouse data mode,article,paper
5193,,,interoperable supply-chain applications: message metamodel-based semantic reconciliation of b2b messages,article,paper
5194,,,semantic b2b-integration using an ontological message metamodel,article,paper
5195,,,data level enterprise applications integration,conference paper,paper
5198,,,identity management-a survey,book chapter,paper
5199,,,a black hole with torsion in 5d lovelock gravity,article,paper
5200,,,5d lovelock gravity: new exact solutions with torsion,article,paper
5201,,,design of fuzzy expert system for evaluation of contemporary user authentication methods intended for mobile devices,article,paper
5202,,,extending identity management system with multimodal biometric authentication,article,paper
5203,,,reducing e-commerce risks using digital certificates,article,paper
5204,,,botnets: the evolution and the possible solution,article,paper
5205,,,overview of dos attacks on wireless sensor networks and experimental results for simulation of interference attacks [visión general de los ataques de dos en redes de sensores inalámbricos y resultados experimentales para la simulación de ataques de interferencia],article,paper
5408,,,choosing authentication techniques in e-procurement system in serbia,conference paper,paper
5207,,,access control in healthcare information systems - context aware attribute based approach,book chapter,paper
5412,,,implementing authentication in an e-procurement system,book chapter,paper
5209,,,an intrusion prevention system as a proactive security mechanism in network infrastructure,article,paper
5211,,,providing strong access control in campus computer network by using radius server [obezbedstrokeivanje jake kontrole pristupa u racunarskoj mrezi kampusa koriscenjem radius servera],article,paper
5212,,,holography in lovelock chern-simons ads gravity,article,paper
5213,,,merchant web applications defense in e-commerce enviroment,article,paper
5246,,,guaranteed single disk access for very large database files,article,paper
5215,,,tweakable parallel ofb mode of operation with delayed thread synchronization,article,paper
5216,,,performance evaluation of aes algorithm under linux operating system,article,paper
5256,,,efficient improvement of brain-tharp's algorithm,article,paper
5218,,,a novel approach to building secure systems,conference paper,paper
5219,,,writing open source sunxacml access control in electronic flealth record with acceptable performances,conference paper,paper
5220,,,a survey of wireless security,article,paper
5221,,,an application of partial homomorphic encryption in computer system with limited resources,article,paper
5222,,,security measures for protection of e-government it infrastructure,article,paper
5401,,,multimedia systems development,book chapter,paper
5224,,,object oriented terrain modelling: lessons learned from java3d development issues,conference paper,paper
5402,,,delivering educational games to mobile devices,book chapter,paper
5403,,,wiki as a corporate learning tool: case study for software development company,article,paper
5228,,,eeg analysis in a telemedical virtual world,article,paper
5404,,,walking in colors: human gait recognition using kinect and cbir,article,paper
5315,,,surviving the design of educational games: borrowing from motivation and multimodal interaction,conference paper,paper
5410,,,learning object repurposing for various multimedia platforms,article,paper
5233,,,experimental evaluation of multimodal human computer interface for tactical audio applications,conference paper,paper
5411,,,using learning objects in games,conference paper,paper
5237,,,the analysis of the users' response to the linear internet video advertising by using qoe methods,article,paper
5238,,,3d visualization of brain electrical activity,conference paper,paper
5414,,,motivational and cognitive aspects of applying educational games as a learning tool,book chapter,paper
5415,,,integrating an educational game in moodle lms,article,paper
5241,,,tactical audio and acoustic rendering in biomédical applications,article,paper
5242,,,software architecture for ground control station for unmanned aerial vehicle,conference paper,paper
5325,,,educational games design issues: motivation and multimodal interaction,conference paper,paper
5418,,,"motivational aspects of different learning contexts: ""my mom won't let me play this game...""",article,paper
5422,,,learning objects in educational games,article,paper
5247,,,improved indexing for distributed virtual university,article,paper
5248,,,structuring scan-line algorithm for scene with single complex object case,article,paper
5249,,,uav- based simulation environment: experience report,conference paper,paper
5429,,,open source application in multimodal biometry,conference paper,paper
5251,,,optimization of thresholds in serial multimodal biometric systems,conference paper,paper
5254,,,toward optimization of multimodal user interfaces for tactical audio applications,article,paper
5255,,,multi modal presentation in virtual telemedical environments,conference paper,paper
5257,,,educational software for studying a cbir system,article,paper
5258,,,model-driven development of user interfaces: promises and challenges,conference paper,paper
5259,,,continuous distribution approximation and thresholds optimization in serial multi-modal biometric systems,article,paper
5430,,,model driven development of user interfaces for educational games,conference paper,paper
5431,,,knowledge modeling for educational games,conference paper,paper
5262,,,modeling multimodal human-computer interaction,article,paper
5263,,,an agent based framework for virtual medical devices,conference paper,paper
5346,,,a multimodal biometrics system implemented using open source technology [multimodalni biometrijski sistem realizovan uz pomoc tehnologije otvorenog koda],conference paper,paper
5265,,,an implementation of real-time monitoring and analysis in telemedicine,conference paper,paper
5266,,,work in progress - virtual business school and enterprise resource planning system integration in energorpojekt group,conference paper,paper
5347,,,motivation and multimodal interaction in model-driven educational game design,article,paper
5269,,,universal accessibility as a multimodal design issue,article,paper
5270,,,an implementation of ray tracing algorithm for the multiprocessor machines,article,paper
5436,,,new gait recognition method using kinect stick figure and cbir,conference paper,paper
5273,,,designing aircraft cockpit displays: borrowing from multimodal user interfaces,conference paper,paper
5437,,,usability issues of e-learning systems: case-study for moodle learning management system,conference paper,paper
5275,,,a model-driven approach to content repurposing,article,paper
5438,,,literature review in game-based learning,conference paper,paper
5277,,,real-time visualization of brain electrical activity,article,paper
5278,,,perceptualization of biomedical data: an experimental environment for visualization and sonification of brain electrical activity,review,paper
5440,,,effectiveness of game-based learning: influence of cognitive style,conference paper,paper
5363,,,using protocols and domain specific languages to achieve compliance of administrative processes with legislation,conference paper,paper
5285,,,an algorithm for production planning based on supply chain kpis,article,paper
5286,,,an algorithm for customer order fulfillment in a make-to-stock manufacturing system,article,paper
5445,,,a domain-specific language for supporting event log extraction from erp systems,conference paper,paper
5477,,,the specification of etl transformation operations based on weaving models,article,paper
5298,,,ontology-based multimodal language learning,book chapter,paper
5300,,,software quality improvement: a model based on managing factors impacting software quality,article,paper
5301,,,software solution for monitoring changes of database elements,article,paper
5303,,,the interface of hypothalamic-pituitary-adrenocortical axis and circulating brain natriuretic peptide in prediction of cardiopulmonary performance during physical stress,article,paper
5304,,,a contribution to software development quality management,article,paper
5305,,,systolic right ventricular adaptive changes in athletes as predictors of the maximal functional capacity: a pulsed tissue doppler study,article,paper
5306,,,"brain natriuretic peptide predicts forced vital capacity of the lungs, oxygen pulse and peak oxygen consumption in physiological condition",article,paper
5307,,,a contribution to continual software service improvement based on the six-step service improvement method,article,paper
5405,,,a tool to aid institutions recognize their employees competences acquired by informal learning,conference paper,paper
5425,,,gamification ecosystems,conference paper,paper
5407,,,using data mining on student behavior and cognitive style data for improving e-learning systems: a case study,article,paper
5317,,,elephant herding optimization algorithm for wireless sensor network localization problem,conference paper,paper
5320,,,informal learning recognition through a cloud ecosystem,article,paper
5413,,,modelling knowledge and game based learning: model driven approach,article,paper
5507,,,elbio-framework for learning multimodal biometrics,conference paper,paper
5417,,,educational games and it professionals: perspectives from the field,article,paper
5420,,,interoperability framework for multimodal biometry: open source in action,article,paper
5330,,,gamification ecosystems: current state and perspectives,book chapter,paper
5421,,,towards creation of implicit hci model for prediction and prevention of operators’ error,conference paper,paper
5424,,,applying technical standards to biometric systems,article,paper
5426,,,communicating the user state: introducing cognition-aware computing in industrial settings,article in press,paper
5427,,,real-time learning analytics in educational games,conference paper,paper
5428,,,enhancing informal learning recognition through trailer project,conference paper,paper
5339,,,"trailer project (tagging, recognition, acknowledgment of informal learning experiences): a methodology to make learners' informal learning activities visible to the institutions",article,paper
5508,,,visualisation of student learning model in serious games,article,paper
5343,,,linux based virtual networking laboratories for software defined networking,article,paper
5433,,,cloud based metalearning system for predictive modeling of biomedical data,article,paper
5510,,,support platform for learning about multimodal biometrics,article,paper
5348,,,hci aspects of social media in collaboration of software developers,article,paper
5352,,,game design as a learning tool for the course of computer networks,article,paper
5441,,,modeling wealth distribution for 100 reachest people in south-eastern europe,conference paper,paper
5355,,,"trailer project overview: tagging, recognition and acknowledgment of informal learning experiences",conference paper,paper
5357,,,use of complex event processing engines in time domain astronomy,conference paper,paper
5359,,,serbian virtual observatory,conference paper,paper
5360,,,a generic architectural framework of municipal information systems: a vision,article,paper
5361,,,extending feature models with deep instantiation to manage complexity and dynamism of services,conference paper,paper
5362,,,context modeling based on feature models expressed as views on ontologies via mappings,article,paper
5479,,,variable neighborhood search and tabu search for the web service selection problem,article,paper
5365,,,an approach to defining scope in software product lines for the telecommunication domain,conference paper,paper
5366,,,admis: generalized administrative system,conference paper,paper
5367,,,"phenetic relationships of six species of mullets (mugilidae) from the south adriatic, as inferred from the study of the visceral and dermal skeleton",article,paper
5372,,,different insulin treatment regimens in patient with diabetes mellitus type 1: effects on quality of life [uticaj razlicitih rezima insulinske terapije na kvalitet zivota obolelih od dijabetesa melitusa tipa 1],article,paper
5378,,,evaluation of asian university rankings: position and perspective of leading indian higher education institutions,article,paper
5379,,,excellence with leadership: the crown indicator of scimago institutions rankings iber report,article,paper
5380,,,applying electronic documents in development of the healthcare information system in the republic of serbia,article,paper
5381,,,infrastructural model for the healthcare system based on emerging technologies,article,paper
5382,,,the crossing speed of elderly pedestrians [brzina hoda starijih pesaka na pesackim prelazima],article,paper
5383,,,introduction and implementation of electronic health card,book chapter,paper
5384,,,determining the number and location of winter road maintenance depots–a case study of the district road network in serbia,article,paper
5385,,,contribution to accident prediction models development for rural two-lane roads in serbia [doprinos razvoju modela predvidjanja saobracajnih nezgoda za vangradske dvotracne puteve u srbiji],article,paper
5386,,,electronic health system - development and implementation into the health system of the republic of serbia [elektronski zdravstveni sistem - razvoj i uvodstrokeenje u zdravstveni sistem republike srbije],article,paper
5387,,,decision-support framework for selecting the optimal road toll collection system,article,paper
5388,,,the effects of mobile phone use on pedestrian crossing behaviour at unsignalized intersections - models for predicting unsafe pedestrians behaviour,article,paper
5389,,,beyond the equal-weight framework of the networked readiness index: a multilevel i-distance methodology,article,paper
5390,,,communication via the web and sms services in the healthcare system in the republic of serbia,article,paper
5391,,,sustainable development in the e-health sector of the european union,article,paper
5409,,,do micro-breaks increase the attention level of an assembly worker? an erp study,article,paper
5423,,,neuroergonomics method for measuring the influence of mental workload modulation on cognitive state of manual assembly worker,conference paper,paper
5506,,,impact of screen aspect ratio on reading electronic material,article,paper
5439,,,investigating brain dynamics in industrial environment – integrating mobile eeg and kinect for cognitive state detection of a worker,conference paper,paper
5501,,,representing it performance management as metamodel,article,paper
5502,,,analysis of available cloud computing models to support cloud adoption decision process in an enterprise,conference paper,paper
5504,,,general model for adequate cloud service selection using decision making methods,article,paper
5447,,,"modelling, analysis and control of large-scale interconnected economic systems.",conference paper,paper
5449,,,the appearance of toxic amount of nitrites in soil,article,paper
5452,,,availability of residual nitrogen from fertilizers in soil,article,paper
5453,,,uveitis and autoimmunity against the retina [les uvéites et l'auto-immunité contre la rétine.],article,paper
5454,,,the study of the fertilizers influence on soil composition and water pollution,article,paper
5455,,,the preparation and use of radiolabelled specific helminth antibodies,article,paper
5469,,,an explanation facility framework for rule-based systems,article,paper
5471,,,konsultant: a knowledge base for automated interpretation of profit values,conference paper,paper
5472,,,automated interpretation of key performance indicator values and its application in education,article,paper
5474,,,a boolean consistent fuzzy inference system for diagnosing diseases and its application for determining peritonitis likelihood,article,paper
5475,,,combining boolean consistent fuzzy logic and ahp illustrated on the web service selection problem,article,paper
5480,,,extending ahp with boolean consistent fuzzy logic and its application in web service selection,conference paper,paper
5481,,,a hybrid metaheuristic based on variable neighborhood search and tabu search for the web service selection problem,article,paper
5485,,,smartmetals: a new method for metal identification based on fuzzy logic,article,paper
5487,,,application of fuzzy ahp method for choosing a technology within service company,article,paper
5488,,,neuro fuzzy reasoner for student modeling,conference paper,paper
5489,,,follow-up and risk assessment in patients with myocardial infarction using artificial neural networks,article,paper
5490,,,a fresh approach for hybrid sql/nosql database design based on data structuredness,article in press,paper
5503,,,metamodel of the artifact-centric approach to event log extraction from erp systems,article,paper
5505,,,educational website conversion improvement using gamification,conference paper,paper
5509,,,gamified educational website conversion optimization,conference paper,paper
